feature,importance
bio4,0.4810759649715908
bio15,0.1298387952579935
bio12,0.12369840386829342
dist_river_km,0.09125998009787996
elev,0.05125220435082063
dist_coast_km,0.050511793020955056
slope,0.0443517036149218
bio1,0.028011154817544903
